hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,a
3147.0,3161.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.08,-0.03,0.0,-0.01,a
3135.0,3154.0,3793.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.66,9.05,-0.03,0.0,-0.02,a
3135.0,3162.0,3808.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.66,9.05,-0.03,0.0,-0.01,a
3136.0,3152.0,3802.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.66,9.05,-0.03,0.0,-0.01,a
3130.0,3155.0,3789.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.07,-0.03,0.0,-0.01,a
3135.0,3167.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.05,-0.03,0.0,-0.02,a
3136.0,3153.0,3798.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.66,9.07,-0.03,0.0,-0.01,a
3141.0,3151.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.05,-0.03,0.0,-0.01,a
3133.0,3170.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.65,9.08,-0.03,0.0,-0.02,a
3134.0,3159.0,3806.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.07,-0.03,0.0,-0.02,a
3136.0,3165.0,3786.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.06,-0.03,0.0,-0.01,a
3130.0,3162.0,3791.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.64,9.04,-0.03,0.01,-0.02,a
3143.0,3150.0,3794.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.69,9.06,-0.03,0.0,-0.01,a
3143.0,3158.0,3793.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.68,9.03,-0.03,0.0,-0.01,a
3137.0,3163.0,3775.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.05,-0.03,0.0,-0.01,a
3129.0,3152.0,3801.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.06,-0.03,0.0,-0.02,a
3136.0,3171.0,3789.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.08,-0.03,0.0,-0.02,a
3133.0,3157.0,3783.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.68,9.06,-0.03,0.0,-0.01,a
3147.0,3166.0,3817.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.68,9.05,-0.03,0.0,-0.02,a
3131.0,3162.0,3793.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.66,9.08,-0.03,0.0,-0.01,a
3137.0,3166.0,3808.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.66,9.11,-0.03,0.0,-0.02,a
3136.0,3153.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.66,9.05,-0.03,0.0,-0.01,a
3143.0,3152.0,3793.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.67,9.11,-0.03,0.0,-0.02,a
3138.0,3165.0,3810.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.68,9.07,-0.03,0.0,-0.01,a
3145.0,3162.0,3805.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.99,0.68,9.05,-0.03,0.0,-0.02,a
3139.0,3151.0,3786.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.67,9.05,-0.03,0.0,-0.02,a
3137.0,3168.0,3781.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.68,9.08,-0.03,0.0,-0.01,a
3139.0,3154.0,3799.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.07,-0.03,0.0,-0.02,a
3136.0,3157.0,3807.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.09,-0.03,0.0,-0.01,a
3135.0,3166.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.05,0.67,9.12,-0.03,0.0,-0.02,a
3138.0,3174.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.05,-0.03,0.0,-0.02,a
3146.0,3162.0,3791.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.68,9.07,-0.03,0.0,-0.02,a
3142.0,3152.0,3796.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.07,-0.03,0.01,-0.01,a
3142.0,3150.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.05,0.66,9.06,-0.03,0.0,-0.01,a
3136.0,3166.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.66,9.07,-0.03,0.0,-0.02,a
3136.0,3151.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.68,9.05,-0.03,0.0,-0.02,a
3133.0,3165.0,3781.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.66,9.03,-0.03,0.0,-0.01,a
3126.0,3155.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.05,-0.03,0.0,-0.01,a
3152.0,3163.0,3794.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.66,9.07,-0.03,0.0,-0.02,a
3141.0,3153.0,3812.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.08,-0.03,0.0,-0.01,a
3135.0,3168.0,3779.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.06,-0.03,0.0,-0.01,a
3136.0,3146.0,3783.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.67,9.08,-0.03,0.0,-0.01,a
3129.0,3148.0,3789.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.66,9.05,-0.03,0.0,-0.02,a
3129.0,3167.0,3810.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.04,-0.03,0.0,-0.02,a
3123.0,3157.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.63,9.04,-0.03,0.0,-0.01,a
3151.0,3161.0,3808.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.65,9.05,-0.03,0.0,-0.01,a
3135.0,3166.0,3781.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.1,-0.03,0.0,-0.02,a
3136.0,3159.0,3781.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.99,0.67,9.07,-0.03,0.0,-0.01,a
3138.0,3174.0,3790.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.65,9.07,-0.03,0.0,-0.01,a
3136.0,3152.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.67,9.07,-0.03,0.0,-0.01,a
3124.0,3163.0,3777.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.7,9.06,-0.03,0.0,-0.01,a
3138.0,3171.0,3807.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.68,9.04,-0.03,0.0,-0.01,a
3139.0,3155.0,3807.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.66,9.07,-0.03,0.0,-0.02,a
3151.0,3170.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.66,9.05,-0.03,0.01,-0.01,a
3142.0,3149.0,3806.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.08,-0.03,0.0,-0.01,a
3132.0,3174.0,3790.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.65,9.08,-0.03,0.0,-0.01,a
3126.0,3161.0,3799.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.65,9.05,-0.03,0.0,-0.02,a
3140.0,3175.0,3823.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.07,-0.03,0.0,-0.01,a
3148.0,3152.0,3783.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.65,9.05,-0.03,0.0,-0.01,a
3135.0,3153.0,3790.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.07,0.67,9.03,-0.04,-0.04,-0.01,a
3138.0,3143.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.05,0.66,8.99,-0.03,0.0,-0.02,a
3151.0,3154.0,3798.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.06,0.65,8.97,-0.03,0.0,-0.02,a
3127.0,3158.0,3812.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.06,-0.03,0.0,-0.01,a
3127.0,3159.0,3775.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.65,9.05,-0.03,0.0,-0.02,a
3119.0,3166.0,3809.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.68,9.1,-0.03,0.0,-0.02,a
3136.0,3152.0,3791.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.63,9.05,-0.03,0.0,-0.01,a
3141.0,3154.0,3794.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.65,9.08,-0.03,0.0,-0.01,a
3136.0,3155.0,3807.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.09,-0.03,0.0,-0.02,a
3149.0,3154.0,3811.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.03,-0.03,0.0,-0.02,a
3136.0,3158.0,3807.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.05,0.68,9.11,-0.03,-0.0,-0.01,a
3141.0,3152.0,3783.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.67,9.05,-0.03,0.0,-0.01,a
3136.0,3165.0,3809.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.66,9.03,-0.03,0.0,-0.01,a
3138.0,3152.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.05,-0.03,0.0,-0.01,a
3137.0,3155.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.05,-0.03,0.0,-0.01,a
3149.0,3159.0,3805.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.69,9.07,-0.03,0.01,-0.02,a
3133.0,3152.0,3805.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.05,-0.03,0.0,-0.02,a
3131.0,3152.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.69,9.11,-0.03,0.0,-0.01,a
3140.0,3158.0,3799.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.63,9.05,-0.03,0.0,-0.02,a
3135.0,3155.0,3813.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.07,0.66,9.07,-0.03,0.0,-0.01,a
3140.0,3162.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.65,9.03,-0.03,0.01,-0.01,a
3130.0,3158.0,3797.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.68,9.04,-0.03,0.0,-0.01,a
3133.0,3156.0,3776.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.99,0.66,9.07,-0.03,0.0,-0.01,a
3135.0,3152.0,3786.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.66,9.01,-0.03,0.01,-0.02,a
3138.0,3170.0,3824.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.64,9.06,-0.03,0.0,-0.02,a
3138.0,3179.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.05,-0.03,0.0,-0.01,a
3139.0,3155.0,3794.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.04,-0.03,0.0,-0.01,a
3138.0,3155.0,3807.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.08,-0.03,0.0,-0.01,a
3127.0,3167.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.08,-0.03,0.0,-0.01,a
3152.0,3162.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.07,-0.03,0.0,-0.01,a
3121.0,3154.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.06,-0.03,0.0,-0.01,a
3140.0,3164.0,3799.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.67,9.09,-0.03,0.01,-0.01,a
3146.0,3152.0,3799.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.65,9.1,-0.02,0.01,-0.01,a
3147.0,3158.0,3793.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.06,-0.03,-0.0,-0.02,a
3149.0,3160.0,3793.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.64,9.05,-0.03,0.01,-0.01,a
3142.0,3163.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.63,9.05,-0.03,0.0,-0.02,a
3145.0,3167.0,3775.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.08,-0.03,0.0,-0.01,a
3140.0,3152.0,3810.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.66,9.05,-0.03,0.0,-0.02,a
3121.0,3158.0,3814.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.99,0.63,9.05,-0.03,0.01,-0.02,a
3134.0,3135.0,3805.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.64,9.02,-0.02,0.01,-0.01,a
3135.0,3167.0,3794.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.09,0.67,8.94,-0.03,-0.01,-0.02,a
3126.0,3154.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.68,9.04,-0.03,-0.0,-0.02,a
3142.0,3153.0,3765.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.66,9.08,-0.03,0.0,-0.01,a
